ENSG00000183878.15
ENSG00000274585.1
ENSG00000229807.12
ENSG00000278774.1
ENSG00000165246.14
ENSG00000129824.16
ENSG00000131002.12
ENSG00000280800.1
ENSG00000260075.1
ENSG00000185352.9
ENSG00000130283.9
ENSG00000067048.17
ENSG00000012817.16
ENSG00000225840.2
ENSG00000220842.6
ENSG00000114374.13
ENSG00000148053.17
ENSG00000067646.12
ENSG00000099715.14
ENSG00000270103.3
ENSG00000206585.1
ENSG00000164707.15
ENSG00000203812.2
ENSG00000263503.1
ENSG00000281383.1
ENSG00000198692.10
ENSG00000285238.2
ENSG00000278233.1
ENSG00000206688.1
ENSG00000267368.1
ENSG00000106809.11
ENSG00000264352.2
ENSG00000268883.2
ENSG00000196136.18
ENSG00000227827.3
ENSG00000226555.1
ENSG00000136943.12
ENSG00000279117.1
ENSG00000237550.5
ENSG00000254701.3
ENSG00000012223.13
ENSG00000274419.6
ENSG00000153266.13
ENSG00000264423.2
ENSG00000140873.16
ENSG00000211459.2
ENSG00000274611.3
ENSG00000115602.17
ENSG00000250111.3
ENSG00000241859.7
ENSG00000275342.5
ENSG00000200486.1
ENSG00000241506.1
ENSG00000178397.13
ENSG00000134184.13
ENSG00000279093.1
ENSG00000263006.6
ENSG00000196302.5
ENSG00000276991.1
ENSG00000210082.2
ENSG00000154620.6
ENSG00000171116.7
ENSG00000231259.5
ENSG00000214814.7
ENSG00000151079.7
ENSG00000278249.1
ENSG00000253007.2
ENSG00000149452.16
ENSG00000260772.1
ENSG00000183908.7
ENSG00000104435.14
ENSG00000277586.4
ENSG00000286235.1
ENSG00000285628.1
ENSG00000283239.1
ENSG00000274512.5
ENSG00000185271.9
ENSG00000275895.7
ENSG00000243509.6
ENSG00000196826.7
ENSG00000163220.11
ENSG00000105697.9
ENSG00000250486.5
ENSG00000285505.1
ENSG00000124107.5
ENSG00000213859.8
ENSG00000275395.6
ENSG00000265579.1
ENSG00000225614.4
ENSG00000196274.5
ENSG00000202198.1
ENSG00000172058.16
ENSG00000084093.19
ENSG00000230847.4
ENSG00000283907.1
ENSG00000213760.11
ENSG00000112175.8
ENSG00000184984.10
ENSG00000172508.10
ENSG00000184557.4
ENSG00000207142.1
ENSG00000167244.21
ENSG00000164326.5
ENSG00000143546.10
ENSG00000283259.1
ENSG00000281887.3
ENSG00000176728.10
ENSG00000064886.14
ENSG00000091986.16
ENSG00000267645.5
ENSG00000203747.12
ENSG00000253829.1
ENSG00000261130.5
ENSG00000254681.6
ENSG00000152779.14
ENSG00000124208.16
ENSG00000253797.2
ENSG00000279095.1
ENSG00000175426.11
ENSG00000277918.1
ENSG00000196656.7
ENSG00000145386.11
ENSG00000117152.14
ENSG00000278299.5
ENSG00000041982.16
ENSG00000168159.14
ENSG00000214776.12
ENSG00000206047.2
ENSG00000166426.8
ENSG00000164600.7
ENSG00000275882.1
ENSG00000244734.4
ENSG00000198774.5
ENSG00000090104.12
ENSG00000156076.10
ENSG00000117600.13
ENSG00000027644.5
ENSG00000221420.2
ENSG00000223779.6
ENSG00000285578.1
ENSG00000168079.17
ENSG00000234964.4
ENSG00000222328.1
ENSG00000268643.2
ENSG00000111087.10
ENSG00000279825.1
ENSG00000211896.7
ENSG00000215790.8
ENSG00000287566.1
ENSG00000259001.3
ENSG00000107147.14
ENSG00000256514.1
ENSG00000274276.4
ENSG00000224837.1
ENSG00000212643.3
ENSG00000183090.5
ENSG00000178878.13
ENSG00000281327.2
ENSG00000285668.1
ENSG00000128564.7
ENSG00000264204.2
ENSG00000007908.16
ENSG00000108691.9
ENSG00000106823.12
ENSG00000262319.1
ENSG00000143858.12
ENSG00000258643.6
ENSG00000047457.14
ENSG00000081479.15
ENSG00000135625.8
ENSG00000159399.10
ENSG00000166091.21
ENSG00000283537.2
ENSG00000202363.1
ENSG00000199352.1
ENSG00000263940.2
ENSG00000206172.8
ENSG00000179859.10
ENSG00000159167.12
ENSG00000275708.1
ENSG00000167755.15
ENSG00000162383.13
ENSG00000105695.15
ENSG00000183307.4
ENSG00000153165.19
ENSG00000105519.18
ENSG00000196616.14
ENSG00000100362.13
ENSG00000205038.12
ENSG00000141469.18
ENSG00000239839.7
ENSG00000211592.8
ENSG00000260534.1
ENSG00000232024.2
ENSG00000187775.17
ENSG00000277437.1
ENSG00000180573.10
ENSG00000144233.11
ENSG00000278996.1
ENSG00000233670.7
